Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Tag,Duration
114,5478,5486,97.185172185,96.894,-33.19362908999926,-0.0029960556580146402,2013-10-08 14:00:00,2013-10-08 22:00:00,,0 days 08:00:00
114,5508,5564,97.412172412,98.278,98.70434503200022,0.00888828948745779,2013-10-09 20:00:00,2013-10-14 05:00:00,,4 days 09:00:00
113,5632,5640,98.969173969,98.458,-57.76265849699976,-0.005164981665504387,2013-10-17 01:00:00,2013-10-17 09:00:00,,0 days 08:00:00
-114,5645,5663,97.811827188,98.022,-23.959700568001182,-0.002148746404625035,2013-10-17 14:00:00,2013-10-18 08:00:00,,0 days 18:00:00
-113,5664,5683,97.924,97.966,-4.745999999998574,-0.00042890404803719306,2013-10-18 09:00:00,2013-10-21 05:00:00,,2 days 20:00:00
113,5693,5723,98.203,98.092,-12.543000000000475,-0.0011303117012718689,2013-10-21 15:00:00,2013-10-22 21:00:00,,1 days 06:00:00
-113,5729,5732,98.031,97.549,54.46599999999992,0.004916812028847972,2013-10-23 03:00:00,2013-10-23 06:00:00,,0 days 03:00:00
-114,5736,5762,97.263827736,97.347,-9.481638095999784,-0.0008551202017850201,2013-10-23 10:00:00,2013-10-24 12:00:00,,1 days 02:00:00
-114,5764,5773,97.283827716,97.276,0.8923596240009601,8.046266459482698e-05,2013-10-24 14:00:00,2013-10-24 23:00:00,,0 days 09:00:00
114,5799,5826,97.556,97.502,-6.156000000000233,-0.0005535282299397037,2013-10-28 02:00:00,2013-10-29 05:00:00,,1 days 03:00:00
113,5840,5881,98.187,98.187,0.0,0.0,2013-10-29 19:00:00,2013-10-31 12:00:00,,1 days 17:00:00
112,5920,5936,98.775173775,98.644,-14.691462799999272,-0.0013280034849525446,2013-11-04 04:00:00,2013-11-04 20:00:00,,0 days 16:00:00
-113,5949,5961,98.23,98.587,-40.34099999999992,-0.0036343275984933587,2013-11-05 09:00:00,2013-11-05 21:00:00,,0 days 12:00:00
112,5989,5994,98.722173722,98.63,-10.323456863999809,-0.0009336678734359616,2013-11-07 01:00:00,2013-11-07 06:00:00,,0 days 05:00:00
-113,6026,6030,98.03882696100001,99.023,-111.21155340699818,-0.01003860480084584,2013-11-08 14:00:00,2013-11-08 18:00:00,,0 days 04:00:00
110,6035,6090,99.221174221,99.478,28.250835689999576,0.0025884170492476155,2013-11-11 00:00:00,2013-11-13 07:00:00,,2 days 07:00:00
-110,6106,6114,99.188825811,99.633,-48.85916078999941,-0.004478066812146242,2013-11-13 23:00:00,2013-11-14 07:00:00,,0 days 08:00:00
109,6117,6163,99.912,99.932,2.1799999999995663,0.00020017615501632946,2013-11-14 10:00:00,2013-11-18 09:00:00,,3 days 23:00:00
-109,6175,6177,99.87582512400002,99.984,-11.791061483997638,-0.001083093690246617,2013-11-18 21:00:00,2013-11-18 23:00:00,,0 days 02:00:00
-109,6183,6196,99.819,100.153,-36.40600000000035,-0.0033460563620153483,2013-11-19 05:00:00,2013-11-19 18:00:00,,0 days 13:00:00
108,6222,6223,100.223175223,100.091,-14.274924084000475,-0.0013188089751288157,2013-11-20 20:00:00,2013-11-20 21:00:00,,0 days 01:00:00
108,6233,6298,100.52117552099999,101.382,92.9690437320017,0.008563613333592457,2013-11-21 07:00:00,2013-11-26 01:00:00,,4 days 18:00:00
-108,6315,6317,101.348823651,101.309,4.300954308000655,0.0003929364896936294,2013-11-26 18:00:00,2013-11-26 20:00:00,,0 days 02:00:00
-108,6321,6329,101.298,101.525,-24.516000000000417,-0.0022409129499101343,2013-11-27 00:00:00,2013-11-27 08:00:00,,0 days 08:00:00
107,6335,6381,101.837,102.268,46.11699999999972,0.004232253503147154,2013-11-27 14:00:00,2013-11-29 12:00:00,,1 days 22:00:00
107,6386,6387,102.37417737399998,102.458,8.96902098200151,0.0008187868088433969,2013-11-29 17:00:00,2013-11-29 18:00:00,,0 days 01:00:00
107,6401,6402,102.593177593,102.653,6.400997549001374,0.0005831031692704602,2013-12-02 09:00:00,2013-12-02 10:00:00,,0 days 01:00:00
107,6407,6431,102.911,102.457,-48.57800000000083,-0.004411578937139948,2013-12-02 15:00:00,2013-12-03 15:00:00,,1 days 00:00:00
-107,6452,6453,102.446822553,102.492,-4.83398682900004,-0.00044098436509965033,2013-12-04 12:00:00,2013-12-04 13:00:00,,0 days 01:00:00
-107,6470,6498,102.165822834,102.14,2.763043237999568,0.00025275413326775187,2013-12-05 06:00:00,2013-12-06 10:00:00,,1 days 04:00:00
107,6502,6549,102.235,102.921,73.40200000000075,0.006710030811366119,2013-12-06 14:00:00,2013-12-10 14:00:00,,4 days 00:00:00
-107,6564,6589,102.575822424,102.562,1.4789993679996911,0.0001347532359318171,2013-12-11 05:00:00,2013-12-12 06:00:00,,1 days 01:00:00
107,6598,6625,102.987,103.282,31.565000000000182,0.0028644392010641617,2013-12-12 15:00:00,2013-12-13 18:00:00,,1 days 03:00:00
-107,6632,6657,103.07382192600001,103.037,3.9399460820001906,0.00035723838809853525,2013-12-16 02:00:00,2013-12-17 03:00:00,,1 days 01:00:00
107,6698,6746,103.28217828199999,104.086,86.00892382600095,0.007782772704553853,2013-12-18 20:00:00,2013-12-20 20:00:00,,2 days 00:00:00
-107,6757,6771,104.001820998,104.067,-6.974153213999315,-0.0006267101996344504,2013-12-23 08:00:00,2013-12-23 22:00:00,,0 days 14:00:00
107,6788,6821,104.34417934399998,104.899,59.365810192001945,0.005317217112522421,2013-12-24 15:00:00,2013-12-27 13:00:00,,2 days 22:00:00
107,6822,6849,104.951,105.036,9.095000000000852,0.0008099017636802319,2013-12-27 14:00:00,2013-12-30 17:00:00,,3 days 03:00:00
-107,6870,6871,104.91982008000001,104.905,1.585748560000738,0.00014125148126165055,2013-12-31 14:00:00,2013-12-31 15:00:00,,0 days 01:00:00
106,6888,6895,105.4001804,104.843,-59.06112239999925,-0.005286332508022906,2014-01-02 12:00:00,2014-01-02 19:00:00,,0 days 07:00:00
-106,6898,6925,104.663820336,104.637,2.842955616000012,0.0002562522169924364,2014-01-02 22:00:00,2014-01-06 02:00:00,,3 days 04:00:00
-107,6941,6942,104.232820767,104.04,20.631822069000066,0.0018499045270110592,2014-01-06 18:00:00,2014-01-06 19:00:00,,0 days 01:00:00
106,6972,6973,104.734179734,104.712,-2.3510518039990416,-0.00021177168767938515,2014-01-08 01:00:00,2014-01-08 02:00:00,,0 days 01:00:00
106,6975,6997,104.853,104.78,-7.737999999999289,-0.0006962127931484652,2014-01-08 04:00:00,2014-01-09 02:00:00,,0 days 22:00:00
106,6998,7000,104.924179924,104.843,-8.60507194399969,-0.0007737008195708439,2014-01-09 03:00:00,2014-01-09 05:00:00,,0 days 02:00:00
106,7033,7034,105.057180057,104.606,-47.82508604200021,-0.0042946141972896035,2014-01-10 14:00:00,2014-01-10 15:00:00,,0 days 01:00:00
